STATION,NAME,DATE,AWND,PRCP,TAVG,TMAX,TMIN,TOBS,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/5/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/6/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/7/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/8/2010,,0.16,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/9/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/10/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/11/2010,,0.03,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/12/2010,,0.01,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/13/2010,,0.02,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/14/2010,,0.02,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/15/2010,,0.13,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/16/2010,,1.22,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/17/2010,,1.63,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/18/2010,,0.23,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/19/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/20/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/21/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/22/2010,,0,,,,,,,,,,,,,,,,,,,,,
US1TXKN0046,"BOERNE 3.3 SSE, TX US",4/23/2010,,0.06,,,,,,,,,,,,,,,,,,,,,
